PUMFID,JobIncomeCategory,GovLoan,RESP,GovGrant,NonGovGrant,Scholarship,Savings,FamilySupport,BankLoan,CreditCard,EmployerFunding,OtherFunding,WorkBeforeProgram,WorkPlacement,Male,Ontario,Quebec,WesternProv,ageUnder25,age25to29,age30to39,age40more,status_ctz_birth,status_ctz_nature,status_immigrant,edu_college,edu_bachelor,edu_graduate,fieldOfStudy_edu,fieldOfStudy_human,fieldOfStudy_social,fieldOfStudy_business,fieldOfStudy_lifeScience,fieldOfStudy_math,fieldOfStudy_engineering,fieldOfStudy_health,Parent1Edu_higher,Parent1Edu_same,Parent1Edu_lower,Parent2Edu_higher,Parent2Edu_same,Parent2Edu_lower
59249,120000.0,0,0,0,0,0,1,1,0,0,0,0,0.0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
59250,13000.0,0,0,0,0,0,0,0,0,0,0,0,42.0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
59252,60000.0,1,0,0,0,0,1,0,0,0,0,0,60.0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
59253,120000.0,0,1,0,0,1,0,0,0,0,0,0,30.0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
59254,120000.0,0,0,0,0,0,0,0,1,0,1,0,60.0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
59255,80000.0,1,0,0,0,0,0,0,0,0,0,0,60.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
59256,40000.0,0,0,0,0,0,0,0,0,0,0,0,60.0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
59257,13000.0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
59259,40000.0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
59260,120000.0,0,0,0,0,0,1,1,0,0,0,0,60.0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
59261,60000.0,0,0,0,0,0,0,1,0,0,1,0,6.0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
59262,,0,0,0,0,0,0,0,0,0,0,0,30.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
59263,80000.0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
59266,60000.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
59267,60000.0,1,0,0,0,1,0,0,0,0,0,0,60.0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
59268,13000.0,1,0,0,1,0,0,0,0,0,0,0,60.0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
59269,40000.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
59271,40000.0,0,0,0,0,0,0,0,0,0,0,0,18.0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
59273,120000.0,0,0,0,0,0,0,0,0,0,0,0,60.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
59276,13000.0,0,0,0,0,1,1,0,0,0,0,0,60.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
59278,60000.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
59279,0.0,1,0,0,0,0,1,0,0,0,0,0,60.0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
